,CAND_ID,CAND_NAME,CAND_ICI,PTY_CD,CAND_PTY_AFFILIATION,TTL_RECEIPTS,TRANS_FROM_AUTH,TTL_DISB,TRANS_TO_AUTH,COH_BOP,COH_COP,CAND_CONTRIB,CAND_LOANS,OTHER_LOANS,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,SPEC_ELECTION,PRIM_ELECTION,RUN_ELECTION,GEN_ELECTION,GEN_ELECTION_PRECENT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS
0,H0AK00089,"CRAWFORD, HARRY T JR",C,1.0,DEM,240439.24,0.0,235571.43,0.0,0.0,4867.81,5832.41,0.0,0.0,0.0,0.0,5000.0,214136.59,AK,00,,W,,L,30.0,14200.0,1749.99,2010-12-31,850.0,500.0
2,H6AK00045,"YOUNG, DONALD E",I,2.0,REP,1001015.37,0.0,887310.33,0.0,57037.18,170742.22,0.0,0.0,0.0,0.0,0.0,0.0,620188.18,AK,00,,W,,W,69.0,341854.57,350.0,2010-12-31,20600.0,1130.65
4,H2AL01077,"BONNER, JO",I,2.0,REP,913052.62,0.0,1101701.0,0.0,468459.25,279810.87,0.0,0.0,0.0,0.0,0.0,0.0,503564.43,AL,01,,W,,W,83.0,397600.0,312.79,2010-12-31,850.0,0.0
5,H0AL01048,"WALTER, DAVID MARSH",C,3.0,CON,21321.0,0.0,20045.0,0.0,0.0,0.0,0.0,16443.0,0.0,0.0,0.0,0.0,4878.0,AL,01,,,,L,16.0,0.0,0.0,2010-12-31,0.0,0.0
6,H8AL02130,"BRIGHT SR, BOBBY NEAL",I,1.0,DEM,1413031.76,0.0,1435626.44,0.0,42933.74,20339.06,0.0,0.0,0.0,100.0,11428.6,1598.03,493648.73,AL,02,,W,,L,48.0,917927.65,0.0,2010-12-31,1430.93,1087.55
7,H0AL02087,"ROBY, MARTHA",C,2.0,REP,1253557.11,55611.07,1240275.64,0.0,0.0,13281.47,0.0,0.0,0.0,0.0,0.0,234.34,825430.34,AL,02,,,,W,51.0,361615.7,10900.0,2010-12-31,4010.0,2000.0
10,H0AL03184,"SEGREST, STEPHEN GRAHAM",C,1.0,DEM,8750.0,0.0,8750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,AL,03,,W,,L,40.0,5000.0,100.0,2010-12-02,0.0,0.0
12,H2AL03032,"ROGERS, MICHAEL",I,2.0,REP,1141732.43,0.0,979490.74,100600.0,42017.75,204259.44,0.0,0.0,0.0,36431.18,0.0,0.0,651809.92,AL,03,,W,,W,59.0,469250.0,6055.49,2010-12-31,200.0,1000.0
13,H6AL04098,"ADERHOLT, ROBERT BROWN",I,2.0,REP,828588.47,0.0,969814.03,0.0,240172.28,46609.33,0.0,0.0,150000.0,0.0,100000.0,50000.0,389321.44,AL,04,,W,,W,100.0,277995.0,262.5,2010-12-31,0.0,2500.0
16,H0AL05197,"RABY, STEPHEN WALKER",C,1.0,DEM,929084.38,0.0,777837.46,0.0,0.0,151246.92,0.0,0.0,0.0,0.0,0.0,167161.33,679792.23,AL,05,,W,,L,41.0,230458.08,10000.0,2010-12-31,0.0,0.0
19,H0AL05163,"BROOKS, MO",C,2.0,REP,961210.63,0.0,910790.4,0.0,0.0,50420.23,0.0,100000.0,0.0,100000.0,0.0,0.0,565669.74,AL,05,,W,,W,58.0,292995.13,0.0,2010-12-31,21650.0,0.0
23,H2AL06035,"BACHUS, SPENCER T.",I,2.0,REP,1415671.8,0.0,1634114.19,0.0,658401.75,439959.36,0.0,0.0,0.0,0.0,0.0,0.0,582777.95,AL,06,,W,,W,100.0,1021400.0,280.0,2010-12-31,0.0,950.0
25,H0AL07086,"SEWELL, TERRI A.",O,1.0,DEM,1802832.56,0.0,1766658.3,0.0,0.0,36018.28,0.0,63000.0,0.0,63000.0,0.0,1533.73,1381888.86,AL,07,,,,W,72.0,357855.0,0.0,2010-12-31,1100.0,2750.0
31,H0AL07177,"CHAMBERLAIN, DONALD NORWOOD",O,2.0,REP,43555.0,0.0,42691.0,0.0,0.0,862.0,88.0,21103.0,3100.0,0.0,3100.0,21103.0,15102.0,AL,07,,,,L,27.0,4250.0,0.0,2010-12-31,0.0,0.0
34,H0AR01109,"CAUSEY, CHAD",O,1.0,DEM,1631221.91,0.0,1613863.42,0.0,0.0,17358.49,0.0,124491.0,0.0,29390.34,0.0,121383.01,1025103.6,AR,01,,,,L,43.0,480211.62,81.68,2010-12-31,950.0,0.0
41,H0AR01083,"CRAWFORD, ERIC ALAN RICK",O,2.0,REP,1341138.21,52163.65,1249966.21,0.0,0.0,91172.0,0.0,140000.0,0.0,77400.0,0.0,62600.0,795985.76,AR,01,,W,,W,51.0,333538.8,17450.0,2010-12-31,1075.0,0.0
44,H0AR02131,"ELLIOTT, JOYCE ANN",O,1.0,DEM,1019593.5,0.0,1019386.27,0.0,0.0,207.23,1679.0,0.0,0.0,0.0,0.0,0.0,707775.27,AR,02,,,,L,38.0,304717.99,5050.0,2010-12-31,0.0,0.0
50,H0AR02107,"GRIFFIN, JOHN TIMOTHY",O,2.0,REP,1855578.1,19860.59,1774143.0,0.0,0.0,81435.1,3500.0,0.0,0.0,0.0,0.0,206343.46,1358655.61,AR,02,,W,,W,57.0,472430.2,0.0,2010-12-31,2550.0,0.0
52,H0AR03030,"WHITAKER, DAVID JEFFREY",O,1.0,DEM,81704.69,0.0,77266.01,0.0,0.0,4403.68,0.0,18457.09,0.0,0.0,0.0,18457.09,56713.6,AR,03,,W,,L,27.0,1000.0,5534.0,2010-12-31,0.0,0.0
54,H0AR03055,"WOMACK, STEVE",O,2.0,REP,717879.42,0.0,641115.26,0.0,0.0,76764.16,2400.0,0.0,0.0,0.0,0.0,0.0,506629.19,AR,03,,,,W,72.0,203850.0,5000.0,2010-12-31,1900.0,1000.0
61,H0AR04038,"ROSS, MICHAEL AVERY",I,1.0,DEM,2426280.46,0.0,3012726.94,0.0,630899.01,44452.53,0.0,0.0,0.0,0.0,0.0,0.0,978290.0,AR,04,,W,,W,57.0,1408195.78,10899.0,2010-12-31,2650.0,0.0
63,H0AR04079,"RANKIN, BETH ANNE",C,2.0,REP,603000.1,0.0,595854.94,0.0,0.0,7145.16,800.0,7501.0,0.0,7501.0,0.0,0.0,555168.25,AR,04,,W,,L,40.0,34530.85,5000.0,2010-12-31,6515.0,0.0
64,H0AS00018,"FALEOMAVAEGA, ENI",I,1.0,DEM,65510.0,0.0,72112.87,0.0,6821.17,218.3,0.0,0.0,0.0,0.0,1050.0,4835.47,54010.0,AS,00,,,,W,56.0,11500.0,0.0,2010-12-31,1700.0,0.0
65,H4AS00036,"AUMUA, AMATA",C,2.0,REP,50345.2,0.0,48434.31,0.0,1.65,1566.54,0.0,0.0,0.0,0.0,0.0,0.0,50345.2,AS,00,,,,L,40.0,0.0,0.0,2010-12-31,0.0,0.0
67,H8AZ01104,"KIRKPATRICK, ANN",I,1.0,DEM,1992860.04,34938.3,1998802.09,199700.0,19838.91,13896.86,0.0,0.0,0.0,7500.0,0.0,0.0,1071359.82,AZ,01,,W,,L,43.0,847586.95,10156.43,2010-12-31,6020.0,0.0
